repo,instance_id,version,n_files_touched,patch_size,n_test_files_touched,test_patch_size,num_FAIL_TO_PASS,problem_length_words,predicted_GH_labels,dominant_topic,hdbscan_topic,hdbscan_topic_all,ExpeRepair_Claude4,Refact_ai_Agent,KGCompass_Claude4,SWE-agent_Claude4,SWE-agent_Claude3_7,KGCompass_DeepSeek_V3,Moatless_Tools_Deepseek_V3,SWE-Fixer_Qwen25-7b,SWE-agent_GPT_4o,SWE-agent_Claude3Opus
matplotlib/matplotlib,matplotlib__matplotlib-24149,3.6,1,8,1,13,1,361,bug,6,2,4,1,1,1,0,1,1,1,0,0,1
matplotlib/matplotlib,matplotlib__matplotlib-24265,3.6,1,69,1,2,1,167,bug,11,2,3,0,0,0,0,1,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib-24334,3.6,1,3,1,11,1,98,enhancement,14,2,4,1,1,1,0,0,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib-24970,3.6,1,21,1,7,1,207,bug,11,3,-1,1,1,1,1,1,1,1,1,0,0
matplotlib/matplotlib,matplotlib__matplotlib-25079,3.6,1,8,1,5,1,325,bug,11,2,0,0,0,0,0,0,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib-25311,3.7,1,4,1,12,1,101,bug,11,2,0,1,1,1,1,1,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib-25332,3.7,1,13,1,4,1,105,bug,11,2,2,0,1,0,0,0,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib-25433,3.7,1,1,1,10,1,226,bug,5,2,2,0,0,0,0,0,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib-25442,3.7,1,31,1,8,1,195,bug,11,2,3,1,1,1,1,1,1,0,0,0,1
matplotlib/matplotlib,matplotlib__matplotlib-25498,3.7,1,8,1,6,1,137,bug,6,2,2,1,0,1,1,0,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib-26011,3.7,1,12,1,9,1,233,bug,6,2,4,1,0,0,0,1,0,1,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib-26020,3.7,1,13,1,4,1,1171,bug,6,2,1,1,1,1,1,1,0,0,1,0,0
mwaskom/seaborn,mwaskom__seaborn-2848,0.12,1,7,1,11,1,151,bug,5,2,2,0,0,0,0,0,0,0,0,0,0
mwaskom/seaborn,mwaskom__seaborn-3010,0.12,1,5,1,9,1,397,bug,14,2,0,1,1,1,0,1,1,1,1,1,0
mwaskom/seaborn,mwaskom__seaborn-3190,0.12,1,2,1,6,1,223,bug,6,2,2,1,1,1,1,1,1,1,0,1,0
mwaskom/seaborn,mwaskom__seaborn-3407,0.13,1,4,1,7,1,226,bug,3,2,0,0,0,0,1,0,0,0,0,0,0
pallets/flask,pallets__flask-4045,2.0,1,16,2,94,2,41,enhancement,0,6,-1,0,0,0,0,0,0,0,0,0,0
pallets/flask,pallets__flask-4992,2.3,1,11,2,15,1,142,enhancement,6,0,4,0,0,1,0,0,1,0,0,0,0
pallets/flask,pallets__flask-5063,2.3,1,65,1,51,2,175,enhancement,5,0,3,0,0,0,0,0,0,0,0,0,0
psf/requests,psf__requests-1963,2.3,1,5,1,61,7,83,bug,6,0,3,1,1,1,1,0,0,0,0,1,0
psf/requests,psf__requests-2148,2.3,1,5,1,14,10,184,question,6,0,2,0,1,0,1,0,0,0,0,0,0
psf/requests,psf__requests-2317,2.4,1,4,1,5,8,131,bug,5,0,2,0,1,1,0,1,1,1,1,1,0
psf/requests,psf__requests-2674,2.7,1,4,1,10,12,73,enhancement,12,0,2,0,1,1,0,0,1,0,1,0,1
psf/requests,psf__requests-3362,2.1,1,17,1,7,1,64,question,6,0,-1,1,1,1,1,1,1,0,0,0,0
psf/requests,psf__requests-863,0.14,1,6,1,34,4,139,enhancement,5,-1,2,1,0,1,0,1,0,1,1,0,0
pydata/xarray,pydata__xarray-3364,0.12,1,10,2,30,2,95,enhancement,6,3,4,0,0,1,0,0,0,0,0,0,0
pydata/xarray,pydata__xarray-4094,0.12,1,2,1,8,1,197,bug,3,3,4,1,1,1,1,0,0,0,0,0,0
pydata/xarray,pydata__xarray-4248,0.12,1,2,1,39,1,125,enhancement,1,-1,2,0,0,0,0,0,0,0,0,0,0
pydata/xarray,pydata__xarray-4493,0.12,1,10,4,13,1,302,bug,2,3,4,0,0,0,0,0,0,0,0,0,0
pydata/xarray,pydata__xarray-5131,0.12,1,2,1,4,10,359,bug,6,6,2,1,1,1,1,1,1,0,1,1,0
pylint-dev/pylint,pylint-dev__pylint-5859,2.13,1,4,1,10,1,130,bug,7,-1,2,1,1,1,1,1,0,1,1,0,0
pylint-dev/pylint,pylint-dev__pylint-6506,2.14,1,3,1,11,2,180,enhancement,7,4,2,0,0,0,0,0,0,0,0,0,0
pylint-dev/pylint,pylint-dev__pylint-7080,2.15,1,1,1,21,1,1892,bug,15,4,1,1,1,1,0,0,0,0,0,0,0
pylint-dev/pylint,pylint-dev__pylint-7114,2.15,1,10,2,13,1,263,bug,7,4,4,1,0,0,1,1,0,0,0,0,0
pylint-dev/pylint,pylint-dev__pylint-7228,2.15,1,13,1,30,2,260,bug,7,4,2,0,0,0,0,0,0,0,0,0,0
pylint-dev/pylint,pylint-dev__pylint-7993,2.15,1,2,1,28,1,279,bug,7,4,2,1,1,1,1,1,1,1,0,0,0
pytest-dev/pytest,pytest-dev__pytest-11143,8.0,1,1,1,14,1,394,bug,1,4,1,1,1,1,1,1,1,1,0,1,0
pytest-dev/pytest,pytest-dev__pytest-11148,8.0,1,2,2,62,2,250,bug,6,4,4,1,1,1,1,0,0,0,0,0,0
pytest-dev/pytest,pytest-dev__pytest-5103,4.5,1,25,1,53,1,269,enhancement,1,4,3,0,0,0,1,0,0,0,0,0,0
pytest-dev/pytest,pytest-dev__pytest-5221,4.4,1,10,1,18,2,42,enhancement,1,4,0,1,0,0,0,0,0,0,0,0,0
pytest-dev/pytest,pytest-dev__pytest-5227,4.4,1,2,1,14,3,120,enhancement,6,0,0,1,1,1,1,1,1,1,1,1,1
pytest-dev/pytest,pytest-dev__pytest-5413,4.6,1,7,1,14,1,259,bug,6,4,2,0,1,1,0,0,0,0,0,0,0
pytest-dev/pytest,pytest-dev__pytest-5495,4.6,1,25,1,21,2,113,bug,12,-1,-1,1,0,0,0,1,0,0,0,0,0
pytest-dev/pytest,pytest-dev__pytest-5692,5.0,1,4,1,26,2,103,enhancement,1,4,0,1,0,0,1,1,0,0,0,1,0
pytest-dev/pytest,pytest-dev__pytest-6116,5.2,1,1,1,4,2,184,enhancement,5,4,2,0,1,0,0,0,0,0,0,0,0
pytest-dev/pytest,pytest-dev__pytest-7168,5.4,1,2,1,17,11,575,bug,2,4,1,0,1,1,1,0,1,0,0,0,0
pytest-dev/pytest,pytest-dev__pytest-7220,5.4,1,10,1,27,1,255,bug,1,4,0,0,0,1,0,0,0,0,0,0,0
pytest-dev/pytest,pytest-dev__pytest-7373,5.4,1,21,1,30,1,123,bug,6,4,3,1,1,1,1,1,1,1,0,1,0
pytest-dev/pytest,pytest-dev__pytest-7432,5.4,1,3,1,25,1,99,bug,1,4,2,1,1,1,1,1,1,1,0,1,0
pytest-dev/pytest,pytest-dev__pytest-7490,6.0,1,21,1,28,2,826,bug,1,4,1,1,1,1,1,1,1,0,1,0,0
pytest-dev/pytest,pytest-dev__pytest-8365,6.3,1,7,1,12,1,217,bug,7,4,2,0,0,1,0,0,1,0,0,0,0
pytest-dev/pytest,pytest-dev__pytest-8906,7.0,1,8,1,2,1,296,enhancement,8,4,2,0,1,0,0,0,0,0,0,0,0
pytest-dev/pytest,pytest-dev__pytest-9359,7.0,1,5,1,13,1,370,bug,1,4,0,1,0,1,1,0,1,0,0,0,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-10297,0.2,1,34,1,38,1,182,enhancement,6,3,3,1,1,1,1,1,0,1,1,0,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-10508,0.2,1,7,1,15,2,170,bug,14,3,2,0,0,0,0,0,0,0,0,0,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-10949,0.2,1,16,1,33,1,172,bug,14,3,0,0,0,0,0,0,0,0,0,0,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-11040,0.2,1,17,1,16,1,86,enhancement,6,3,2,0,0,0,0,0,0,0,0,0,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-11281,0.2,1,30,2,73,2,83,enhancement,13,3,3,1,1,0,1,1,0,1,0,0,1
scikit-learn/scikit-learn,scikit-learn__scikit-learn-12471,0.21,1,9,1,17,1,289,bug,14,3,0,1,1,1,1,1,1,1,0,0,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-13142,0.21,1,10,2,18,2,315,bug,14,3,4,1,1,1,1,1,1,1,0,0,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-13241,0.21,1,5,2,31,1,99,question,6,-1,2,1,1,1,1,1,0,1,1,0,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-13439,0.21,1,6,1,1,1,120,bug,14,3,2,1,1,1,1,1,1,1,1,0,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-13496,0.21,1,10,1,22,1,197,enhancement,6,-1,2,1,1,1,1,1,1,1,1,1,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-13497,0.21,1,14,1,18,1,49,bug,8,-1,2,1,1,0,0,0,0,1,0,0,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-13584,0.21,1,2,1,4,6,44,bug,14,-1,0,1,1,1,1,1,0,1,0,0,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-13779,0.22,1,2,1,24,2,61,bug,9,3,0,1,1,1,1,1,0,1,1,1,1
scikit-learn/scikit-learn,scikit-learn__scikit-learn-14087,0.22,1,9,1,12,3,204,bug,14,3,2,0,1,0,1,1,0,0,0,1,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-14092,0.22,1,10,1,16,3,375,question,6,3,1,1,1,1,1,1,1,1,0,0,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-14894,0.22,1,13,1,13,1,189,bug,14,3,0,1,1,1,1,1,1,1,1,1,1
scikit-learn/scikit-learn,scikit-learn__scikit-learn-14983,0.22,1,5,1,11,2,110,bug,14,-1,2,1,1,1,1,0,0,0,0,0,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-15512,0.22,1,5,1,8,1,233,enhancement,6,3,2,1,1,1,1,1,1,0,0,0,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-15535,0.22,1,4,1,4,8,70,bug,9,3,2,1,1,1,1,1,1,0,0,1,1
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25500,1.3,1,41,1,22,1,283,bug,7,3,3,0,0,1,0,0,0,0,0,0,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25570,1.3,1,4,1,29,3,429,bug,7,3,0,1,1,1,0,1,1,1,0,1,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25638,1.3,1,35,3,70,10,216,enhancement,3,3,3,0,0,0,0,0,0,0,0,0,0
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25747,1.3,1,4,1,34,1,495,bug,14,3,1,0,0,0,0,0,1,0,0,0,0
sphinx-doc/sphinx,sphinx-doc__sphinx-10325,5.0,1,12,2,67,1,174,enhancement,3,1,-1,1,0,0,1,0,0,0,1,0,0
sphinx-doc/sphinx,sphinx-doc__sphinx-10451,5.1,1,20,8,112,2,184,bug,1,1,4,1,1,0,0,0,0,0,0,0,0
sphinx-doc/sphinx,sphinx-doc__sphinx-11445,7.1,1,14,1,55,2,213,bug,7,1,3,1,1,0,1,0,0,0,0,0,0
sphinx-doc/sphinx,sphinx-doc__sphinx-7686,3.1,1,54,2,102,2,156,bug,3,1,3,0,0,0,0,0,0,0,0,0,0
sphinx-doc/sphinx,sphinx-doc__sphinx-7738,3.1,1,2,1,21,1,140,bug,3,1,0,0,0,0,0,0,0,0,0,0,0
sphinx-doc/sphinx,sphinx-doc__sphinx-7975,3.2,1,14,1,6,1,85,bug,12,1,0,1,1,1,1,1,0,0,0,0,0
